Chl_a,Phy,NO2,NO3,NH4,PO4,Site,Bay,Depth
6,0.54,NaN,NaN,NaN,NaN,II,East Bay,4.538
9.16,0.88,NaN,NaN,NaN,NaN,II,East Bay,4.55
0.93,0.95,NaN,NaN,NaN,NaN,II,East Bay,4.602
1.08,1.06,NaN,NaN,NaN,NaN,II,East Bay,4.625
1.09,1,NaN,NaN,NaN,NaN,II,East Bay,4.642
0.97,0.62,NaN,NaN,NaN,NaN,II,East Bay,4.667
0.95,0.73,NaN,NaN,NaN,NaN,II,East Bay,4.685
1.05,0.92,NaN,NaN,NaN,NaN,II,East Bay,4.698
1.12,1.15,NaN,NaN,NaN,NaN,II,East Bay,4.729
1.16,1.37,NaN,NaN,NaN,NaN,II,East Bay,4.753
1.15,1.47,NaN,NaN,NaN,NaN,II,East Bay,4.763
1.2,1.49,NaN,NaN,NaN,NaN,II,East Bay,4.778
1.27,1.44,NaN,NaN,NaN,NaN,II,East Bay,4.783
1.44,1.3,NaN,NaN,NaN,NaN,II,East Bay,4.785
1.58,1.13,NaN,NaN,NaN,NaN,II,East Bay,4.785
1.57,0.95,NaN,NaN,NaN,NaN,II,East Bay,4.787
1.52,0.85,NaN,NaN,NaN,NaN,II,East Bay,4.787
3.1,0.28,NaN,NaN,NaN,NaN,VIII,South Bay,0.002
5.06,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,0.007
5.85,0.64,NaN,NaN,NaN,NaN,VIII,South Bay,0.054
5.86,0.75,NaN,NaN,NaN,NaN,VIII,South Bay,0.127
5.5,0.69,NaN,NaN,NaN,NaN,VIII,South Bay,0.22
5.33,0.53,NaN,NaN,NaN,NaN,VIII,South Bay,0.336
5.92,0.62,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,0.999
5.88,0.48,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1
5.81,0.69,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1
5.99,0.54,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1.001
5.79,0.44,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1.002
5.48,0.63,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1.006
5.64,0.69,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1.006
5.66,0.45,NaN,NaN,NaN,NaN,VIII,South Bay,1.193
6,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,1.306
5.92,0.61,NaN,NaN,NaN,NaN,VIII,South Bay,1.416
5.61,0.66,NaN,NaN,NaN,NaN,VIII,South Bay,1.494
5.38,0.59,NaN,NaN,NaN,NaN,VIII,South Bay,1.54
5.28,0.47,NaN,NaN,NaN,NaN,VIII,South Bay,1.571
5.47,0.42,NaN,NaN,NaN,NaN,VIII,South Bay,1.593
5.81,0.51,NaN,NaN,NaN,NaN,VIII,South Bay,1.61
6,0.65,NaN,NaN,NaN,NaN,VIII,South Bay,1.655
5.75,0.71,NaN,NaN,NaN,NaN,VIII,South Bay,1.695
5.37,0.63,NaN,NaN,NaN,NaN,VIII,South Bay,1.708
5.26,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,1.728
5.46,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,1.775
5.62,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,1.817
5.65,0.63,NaN,NaN,NaN,NaN,VIII,South Bay,1.86
5.38,0.67,NaN,NaN,NaN,NaN,VIII,South Bay,1.904
5.08,0.59,NaN,NaN,NaN,NaN,VIII,South Bay,1.948
5.54,0.52,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,1.986
5.71,0.59,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,1.993
5.16,0.45,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,1.993
5.25,0.52,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,2.001
5.3,0.55,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,2.002
5.8,0.56,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,2.004
5.36,0.58,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,2.004
5.49,0.4,NaN,NaN,NaN,NaN,VIII,South Bay,2.038
5.79,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,2.054
5.97,0.62,NaN,NaN,NaN,NaN,VIII,South Bay,2.065
5.89,0.7,NaN,NaN,NaN,NaN,VIII,South Bay,2.077
5.48,0.63,NaN,NaN,NaN,NaN,VIII,South Bay,2.089
5.32,0.48,NaN,NaN,NaN,NaN,VIII,South Bay,2.1
5.61,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,2.112
5.87,0.47,NaN,NaN,NaN,NaN,VIII,South Bay,2.124
5.92,0.6,NaN,NaN,NaN,NaN,VIII,South Bay,2.136
5.74,0.67,NaN,NaN,NaN,NaN,VIII,South Bay,2.146
5.38,0.61,NaN,NaN,NaN,NaN,VIII,South Bay,2.153
5.24,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,2.163
5.53,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,2.17
5.9,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,2.176
6.02,0.61,NaN,NaN,NaN,NaN,VIII,South Bay,2.184
5.74,0.64,NaN,NaN,NaN,NaN,VIII,South Bay,2.219
5.49,0.6,NaN,NaN,NaN,NaN,VIII,South Bay,2.257
5.46,0.48,NaN,NaN,NaN,NaN,VIII,South Bay,2.297
5.62,0.44,NaN,NaN,NaN,NaN,VIII,South Bay,2.337
5.88,0.51,NaN,NaN,NaN,NaN,VIII,South Bay,2.375
5.32,0.47,NaN,NaN,NaN,NaN,VIII,South Bay,2.386
5.94,0.64,NaN,NaN,NaN,NaN,VIII,South Bay,2.415
5.78,0.68,NaN,NaN,NaN,NaN,VIII,South Bay,2.457
5.43,0.62,NaN,NaN,NaN,NaN,VIII,South Bay,2.48
5.31,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,2.482
5.56,0.45,NaN,NaN,NaN,NaN,VIII,South Bay,2.509
5.85,0.52,NaN,NaN,NaN,NaN,VIII,South Bay,2.564
5.95,0.65,NaN,NaN,NaN,NaN,VIII,South Bay,2.622
5.73,0.7,NaN,NaN,NaN,NaN,VIII,South Bay,2.681
5.34,0.61,NaN,NaN,NaN,NaN,VIII,South Bay,2.744
5.33,0.47,NaN,NaN,NaN,NaN,VIII,South Bay,2.821
5.63,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,2.901
5.89,0.5,NaN,NaN,NaN,NaN,VIII,South Bay,2.967
5.84,0.63,NaN,NaN,NaN,NaN,VIII,South Bay,2.973
5.46,0.46,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,2.995
5.28,0.53,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,2.996
5.32,0.47,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,2.999
5.83,0.53,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.001
5.64,0.62,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.002
5.79,0.57,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.003
5.26,0.55,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.004
5.77,0.52,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.007
5.53,0.67,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.007
5.37,0.58,NaN,NaN,NaN,NaN,VIII,South Bay,3.049
